The Joe Rogan Experience monologue,Joe Rogan Experience monologue ,2023-03-04 23:57:13
on SNL was joking around about a drug company force you to take,SNL drug company force ,2023-03-04 23:57:36
"their drug right after it. The next day, there's always hit pieces, like,",drug next day pieces ,2023-03-04 23:58:23
"like they were timed like hippies and fox hippies, and Vanity Fair,",hippies fox hippies Vanity Fair ,2023-03-04 23:58:29
the hippies calling him. An anti-vaxxer and a stone or a conspiracy,hippies anti-vaxxer stone conspiracy ,2023-03-04 23:58:33
theory make.,theory make ,2023-03-04 23:58:38
He's a joke monologue on SNL about something that makes people laugh,joke monologue SNL something people ,2023-03-04 23:58:43
"because you can kind of make a weird comparison to those two. This, the only reason why the joke works,",kind make weird comparison only reason joke ,2023-03-04 23:58:49
the only reason why it works because people taking it like so for,only reason people ,2023-03-04 23:59:35
"you guys to come out and sailor, go conspirators with yours. I know it's jokes about",sailor conspirators yours jokes ,2023-03-04 23:59:40
"a possible conspiracy theory,",possible conspiracy theory ,2023-03-04 23:59:45
The Joe Rogan Experience monologue,Joe Rogan Experience monologue ,2023-03-05 00:09:26
on SNL was joking around about a drug company force you to take,SNL drug company force ,2023-03-05 00:09:44
"their drug right after it. The next day, there's always hit pieces, like,",drug next day pieces ,2023-03-05 00:10:30
"like they were timed like hippies and fox hippies, and Vanity Fair,",hippies fox hippies Vanity Fair ,2023-03-05 00:10:35
the hippies calling him. An anti-vaxxer and a stone or a conspiracy,hippies anti-vaxxer stone conspiracy ,2023-03-05 00:10:41
theory make.,theory make ,2023-03-05 00:10:46
He's a joke monologue on SNL about something that makes people laugh,joke monologue SNL something people ,2023-03-05 00:10:52
"because you can kind of make a weird comparison to those two. This, the only reason why the joke works,",kind make weird comparison only reason joke ,2023-03-05 00:10:58
the only reason why it works because people taking it like so for,only reason people ,2023-03-05 00:11:02
"you guys to come out and sailor, go conspirators with yours. I know it's jokes about",sailor conspirators yours jokes ,2023-03-05 00:11:07
"a possible conspiracy theory,",possible conspiracy theory ,2023-03-05 00:11:12
"because you can kind of make a weird comparison to those two. This, the only reason why the joke works,",kind make weird comparison only reason joke ,2023-03-05 00:23:48
"you guys to come out and sailor, go conspirators with yours. I know it's jokes about",sailor conspirators yours jokes ,2023-03-05 00:24:09
"scary stuff. Yeah, very scary. Sounds 20 minutes from there and they just call it East Palestine.",scary stuff scary minutes East Palestine ,2023-03-05 01:12:42
They don't say it's 45 minutes away from Pittsburgh or 45 minutes away from Cleveland. They just,minutes Pittsburgh minutes Cleveland ,2023-03-05 01:12:48
"call it East Palestine, get into Youngstown to. Oh yeah it's getting it everywhere,",East Palestine Youngstown ,2023-03-05 01:12:53
"by the river with his Creek, or whatever it is. It's just fucking completely polluted United Shore. Roxanate see if they",river Creek United Shore Roxanate ,2023-03-05 01:14:04
"dude. Oh my God. Pittsburgh's right there. Are those videos of it raining in Ohio,",dude God Pittsburgh right videos Ohio ,2023-03-05 01:15:00
"where it was like, foam? Is that fake? I don't know. You see that snow and all the stuff in the ground fix.",fake snow stuff ground fix ,2023-03-05 01:15:04
"at the Cloudy place, they literally have the lake effect. They're so at the precipitation",Cloudy place lake effect precipitation ,2023-03-05 01:15:16
that are not the same as ours. Yes. And that's probably why I just can't see them because,same ours ,2023-03-05 01:49:09
they're looking for us in the past and they're not open to the possibility that whole other kinds of technology,past open possibility whole other kinds technology ,2023-03-05 01:49:15
that could be used to go back to the ancient Egyptians Traditions that speak of priests,ancient Egyptians Traditions speak priests ,2023-03-05 01:49:21
"it was able to manipulate matter. We know that sounds convinced. He lives matter is a matter of fact, but that lifting,",able matter convinced matter matter fact lifting ,2023-03-05 01:49:37
"these blocks is at the gate. And again, it appears in that ancient Egyptians Traditions, the notion",blocks gate ancient Egyptians Traditions notion ,2023-03-05 01:50:15
"that we could lift huge blocks with sound seems absurd to archaeologists. And yes, it's there and",huge blocks sound absurd archaeologists ,2023-03-05 01:50:20
the traditions of dija poses and what Randall's talking about now is people who are working on,traditions dija poses Randall people ,2023-03-05 01:50:25
